date,open,high,low,close,vol,per,pbr
2009-05-12,"307,561","308,546","300,668","305,920","68,041",3078,456
2009-05-13,"305,920","318,065","305,920","314,126","76,214",3161,468
2009-05-14,"314,126","314,126","300,012","300,340","81,542",3022,448
2009-05-15,"303,622","314,126","299,355","309,859","72,991",3118,462
2009-05-18,"313,798","319,706","311,172","317,737","114,432",3197,474
2009-05-19,"321,347","322,004","316,752","322,004","53,614",3240,480
2009-05-20,"321,347","321,676","313,141","313,798","56,316",3157,468
2009-05-21,"315,767","315,767","307,561","309,859","44,535",3118,462
2009-05-22,"306,248","309,203","302,966","304,935","61,192",3068,455
2009-05-25,"300,012","305,264","276,378","302,309","93,683",3042,451
2009-05-26,"302,309","302,309","284,584","284,913","165,723",2867,425
2009-05-27,"288,852","290,821","275,722","275,722","152,656",2774,411
2009-05-28,"275,722","284,584","272,440","282,287","118,394",2840,421
2009-05-29,"284,256","287,539","279,004","287,539","80,728",2893,429
2009-06-01,"283,928","293,119","282,287","292,462","109,528",2943,436
2009-06-02,"298,042","298,042","288,852","288,852","100,528",2906,431
2009-06-03,"294,103","304,935","289,180","296,401","125,265",2982,442
2009-06-04,"296,729","303,951","293,775","297,058","74,816",2989,443
2009-06-05,"297,058","300,340","293,119","297,058","81,238",2989,443
2009-06-08,"294,103","296,729","289,180","292,790","85,072",2946,437
2009-06-09,"296,401","296,401","286,226","290,165","96,563",2920,433
2009-06-10,"295,416","310,515","292,790","309,203","194,445",3111,461
2009-06-11,"307,233","315,439","303,294","309,859","107,723",3118,462
2009-06-12,"309,859","321,347","309,531","311,828","121,123",3138,465
2009-06-15,"310,187","320,034","309,203","312,157","109,440",3141,466
2009-06-16,"313,141","324,630","309,203","324,302","150,905",3263,484
2009-06-17,"327,584","336,775","322,989","331,523","234,199",3336,494
2009-06-18,"330,866","332,836","325,615","328,240","112,134",3303,489
2009-06-19,"327,912","332,179","318,393","322,989","62,600",3250,482
2009-06-22,"328,240","328,240","321,019","322,660","59,915",3247,481
2009-06-23,"318,393","321,676","312,157","318,393","64,652",3204,475
2009-06-24,"321,676","328,897","318,393","323,317","72,227",3253,482
2009-06-25,"327,912","338,088","323,317","328,897","84,038",3309,490
2009-06-26,"328,897","334,805","326,599","329,553","56,700",3316,491
2009-06-29,"332,179","336,118","327,912","328,240","38,349",3303,489
2009-06-30,"328,240","343,340","328,240","331,523","106,432",3336,494
2009-07-01,"331,523","345,966","329,553","342,027","78,137",3441,510
2009-07-02,"342,683","351,217","342,683","348,591","93,737",3507,520
2009-07-03,"347,935","352,530","345,309","349,904","67,747",3521,522
2009-07-06,"349,904","353,843","347,278","349,904","50,070",3521,522
2009-07-07,"354,500","354,500","343,996","348,591","36,054",3507,520
2009-07-08,"349,248","349,904","336,775","347,278","39,090",3494,518
2009-07-09,"350,561","351,874","342,027","342,027","69,844",3441,510
2009-07-10,"342,683","348,591","335,462","344,653","54,508",3468,514
2009-07-13,"345,966","345,966","329,553","329,553","55,922",3316,491
2009-07-14,"332,836","336,118","324,302","325,943","46,033",3280,486
2009-07-15,"325,943","330,210","322,660","324,958","83,710",3270,485
2009-07-16,"325,615","328,897","324,302","325,286","83,835",3273,485
2009-07-17,"325,286","329,553","325,286","327,584","46,190",3296,489
2009-07-20,"328,240","330,866","326,928","326,928","88,733",3290,488
2009-07-21,"329,553","341,370","327,256","335,462","77,754",3375,500
2009-07-22,"336,118","339,401","329,553","334,149","46,558",3362,498
2009-07-23,"339,401","347,935","336,118","345,966","69,906",3481,516
2009-07-24,"343,340","351,874","343,340","350,561","51,092",3527,523
2009-07-27,"353,843","362,378","347,935","360,408","114,903",3626,537
2009-07-28,"355,156","357,782","349,248","355,156","46,580",3574,530
2009-07-29,"357,782","357,782","349,904","353,843","55,369",3560,528
2009-07-30,"354,500","354,500","344,653","347,935","51,153",3501,519
2009-07-31,"347,935","351,874","345,966","348,591","105,449",3507,520
2009-08-03,"348,591","348,591","343,340","343,340","57,897",3455,512
2009-08-04,"342,683","347,935","333,492","338,088","113,366",3402,504
